title,company,ratings,reviews,experience,salary,location,days_posted,url
Data Scientist III,Glance,3.7,21 Reviews,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,20 Days Ago,https://www.naukri.com/job-listings-data-scientist-iii-glance-it-solution-bangalore-bengaluru-4-to-7-years-210223500101
Data Scientist II,Glance,3.7,21 Reviews,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,20 Days Ago,https://www.naukri.com/job-listings-data-scientist-ii-glance-it-solution-bangalore-bengaluru-2-to-6-years-210223500100
Data Scientist - Corporate Office,Chaitanya India Fin Credit,4.1,179 Reviews,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,21 Days Ago,https://www.naukri.com/job-listings-data-scientist-corporate-office-chaitanya-india-fin-credit-pvt-ltd-bangalore-bengaluru-2-to-7-years-200223607181
Lead Data Scientist,Gcc Services,3.4,26 Reviews,8-12 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,21 Days Ago,https://www.naukri.com/job-listings-lead-data-scientist-gcc-services-bangalore-bengaluru-8-to-12-years-200223008229
ML Lead,Entomo,4.0,19 Reviews,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,23 Days Ago,https://www.naukri.com/job-listings-ml-lead-entomo-bangalore-bengaluru-2-to-7-years-170223503901
Data Scientist,VEGA Intellisoft Private Limited,4.0,22 Reviews,8-12 Yrs,Not disclosed,Bangalore/Bengaluru,24 Days Ago,https://www.naukri.com/job-listings-data-scientist-vega-intellisoft-private-limited-bangalore-bengaluru-8-to-12-years-170223501397
Lead Data Scientist - Yulu Energy,Yulu Bikes,4.3,21 Reviews,1-2 Yrs,Not disclosed,Bangalore/Bengaluru,25 Days Ago,https://www.naukri.com/job-listings-lead-data-scientist-yulu-energy-yulu-bike-bangalore-bengaluru-1-to-2-years-160223502183
Assistant/ Engineer - Transport Planner,Arcadis Consulting India Pvt. Ltd,4.2,150 Reviews,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,26 Days Ago,https://www.naukri.com/job-listings-assistant-engineer-transport-planner-arcadis-consulting-india-pvt-ltd-bangalore-bengaluru-2-to-5-years-150223500078
Data Scientist,Tecqubes Technologies,2.9,2 Reviews,3-8 Yrs,Not disclosed,Permanent Remote,28 Days Ago,https://www.naukri.com/job-listings-data-scientist-tecqubes-technologies-bangalore-bengaluru-3-to-8-years-130223009355
Data Scientist,Mobily Infotech (MIT),4.1,70 Reviews,8-13 Yrs,Not disclosed,Bangalore/Bengaluru(Whitefield),28 Days Ago,https://www.naukri.com/job-listings-data-scientist-mobily-infotech-mit-bangalore-bengaluru-8-to-13-years-130223001833
Data Scientist,Whizdm Innovations,4.5,4 Reviews,2-5 Yrs,15-25 Lacs PA,Permanent Remote,28 Days Ago,https://www.naukri.com/job-listings-data-scientist-whizdm-innovations-bangalore-bengaluru-2-to-5-years-130223000871
Data Scientist,Raytheon Technologies,3.8,49 Reviews,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-raytheon-technologies-bangalore-bengaluru-5-to-8-years-090223905075
Data Scientist Advanced Analytics,Eli Lilly And Company,4.3,246 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-data-scientist-advanced-analytics-eli-lilly-and-company-bangalore-bengaluru-5-to-10-years-090223501067
Lead Artificial Intelligence Specialist,FabHotels,3.4,215 Reviews,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-lead-artificial-intelligence-specialist-fabhotel-aay-kay-model-town-bangalore-bengaluru-2-to-6-years-080223502662
Sr Data Scientist,Transunion,4.3,159 Reviews,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-sr-data-scientist-transunion-software-services-pvt-ltd-bangalore-bengaluru-5-to-10-years-030223501967
Data Scientist (Python),Pegasus Knowledge Solutions (PKSI),2.7,3 Reviews,5-8 Yrs,6-16 Lacs PA,Bangalore/Bengaluru,13 Days Ago,https://www.naukri.com/job-listings-data-scientist-python-pegasus-knowledge-solutions-pksi-bangalore-bengaluru-5-to-8-years-020522002727
Senior Data Scientist,Groww,4.2,63 Reviews,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,30+ Days Ago,https://www.naukri.com/job-listings-senior-data-scientist-groww-bangalore-bengaluru-4-to-7-years-010223501432
